Year,Site-yr,Site-no,Site,Soil,Texture,prevCrop,Till,Treatment,Treat-no,Plot,Rep,lbsN,FN,lbsP2O5,FP,lbsK20,FK,lbsS,FS,POP ha,POP ac,GDM,CDM,VDM,TDM,cobHi,HI,EARS,BARR,PROL,KERNE,KERNm,HSW,gUN,cUN,vUN,UN,NHI,gUP,cUP,vUP,UP,PHI,gUK,cUK,vUK,UK,KHI,gUCa,cUCa,vUCa,UCa,CaHI,gUMg,cUMg,vUMg,UMg,MgHI,gUS,cUS,vUS,US,SHI,gN,gP,gK,gCa,gMg,gS,cN,cP,cK,cCa,cMg,cS,vN,vP,vK,vCa,vMg,vS,SOM 0-4,SOM 4-8,SOM 0-8,SOM 8-16,pH 0-4,pH 4-8,pH 0-8,pH 8-16,bpH 0-4,bpH 4-8,bpH 0-8,bpH 8-16,Bray-P 0-4,Bray-P 4-8,Bray-P 0-8,Bray-P 8-16,cumBray-P8,cumBray-P16,Olsen-P 0-4,Olsen-P 4-8,Olsen-P 0-8,Olsen-P 8-16,cumOls-P8,cumOls-P16,K 0-4,K 4-8,K 0-8,K 8-16,cumK8,cumK16,NO3-12S,NO3-24S,NO3-36S,NO3-48S,avgNO3-S2ft,avgNO3-S3ft,avgNO3-S4ft,cumNO3-S,NO3-12F,NO3-24F,NO3-36F,NO3-48F,avgNO3-F,cumNO3-F,PSNT,Amino-N 0-6,Amino-N 6-12,SO4-S12,SO4-S24,SO4-S36,avgSO4-S,cumSO4-S,Zn 0-4,Zn 4-8,Zn 0-8,Fe 0-4,Fe 4-8,Fe 0-8,Mn 0-4,Mn 4-8,Mn 0-8,Cu 0-4,Cu 4-8,Cu 0-8,S 0-4,S 4-8,S 0-8,BD 0-8,irrigN,Observed L (F),Observed H (F),Normal L (F),Normal H (F),Observed Precip (inches),Observed S Fall (inches),GY Mg
2002,1,1,Mead,Tomek,siCL,soybean,NT,N0P1K1 ,1,106,1,0,0,41,20,43,40,0,0,67991,27515,12460,1312,9587,23358,0.90,0.53,66912,1.6,0.0,494,3309,37.7,178.1,8.2,68.2,254.4,0.70,43.2,0.7,3.8,47.7,0.91,46.8,15.8,187.8,250.4,0.19,2.2,0.3,40.2,42.8,0.05,16.9,0.8,15.4,33.1,0.51,15.2,0.8,7.5,23.4,0.65,1.43,0.35,0.38,0.02,0.14,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.71,0.04,1.96,0.42,0.16,0.08,3.60,3.16,3.38,2.33,6.60,5.77,6.18,6.29,7.00,6.53,6.77,7.00,11.3,8.9,10.1,2.1,26.6,32.6,7.9,4.9,6.4,0.2,16.9,17.5,663,398,530,300,1400,2233,7.5,3.8,1.9,1.9,5.6,4.4,3.8,61.3,6.4,3.0,2.5,2.1,3.5,56.8,6.5,250.8,230.9,4.7,8.2,14.6,9.2,115.0,1.5,,1.5,54.5,,54.5,50.0,,50.0,1.1,,1.1,5.1,,5.1,1.32,90,25,41,15,35,0.01,0,14.30
2002,1,1,Mead,Tomek,siCL,soybean,NT,N0P1K1 ,1,206,2,0,0,41,20,43,40,0,0,61516,24895,11199,1258,8227,20685,0.90,0.54,63674,0.0,3.5,524,3336,33.6,156.6,7.8,49.9,214.2,0.73,35.8,0.7,3.4,39.9,0.90,41.1,15.1,148.3,204.5,0.20,2.0,0.3,29.8,32.2,0.06,14.1,0.8,16.6,31.5,0.45,13.5,0.7,6.3,20.6,0.66,1.40,0.32,0.37,0.02,0.13,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.61,0.04,1.80,0.36,0.20,0.08,3.36,2.95,3.15,1.79,6.24,5.78,6.01,6.21,6.69,6.51,6.60,6.55,15.4,5.8,10.6,2.2,28.0,34.2,12.1,4.5,8.3,0.5,22.0,23.3,601,328,464,308,1225,2079,4.9,2.8,1.4,1.4,3.9,3.0,2.6,42.7,7.0,3.7,2.1,1.5,3.6,58.2,5.8,225.5,192.8,5.4,9.2,10.0,8.2,102.5,1.1,,1.1,48.0,,48.0,40.7,,40.7,1.3,,1.3,4.1,,4.1,1.32,90,28,37,15,35,0.43,4.9,12.86
2002,1,1,Mead,Tomek,siCL,soybean,NT,N0P1K1 ,1,303,3,0,0,41,20,43,40,0,0,64753,26205,10848,1136,8101,20086,0.91,0.54,65833,0.0,1.7,507,3338,32.5,138.3,7.1,43.4,188.8,0.73,33.9,0.6,3.0,37.5,0.90,40.3,13.7,156.3,210.3,0.19,2.0,0.3,31.6,33.9,0.06,15.0,0.7,15.8,31.5,0.48,12.9,0.7,7.0,20.6,0.63,1.27,0.31,0.37,0.02,0.14,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.54,0.04,1.93,0.39,0.19,0.09,3.56,2.90,3.23,2.30,6.26,5.49,5.88,6.25,7.00,6.58,6.79,7.00,15.7,5.8,10.7,2.5,28.3,35.2,10.3,2.8,6.5,0.3,17.2,18.2,636,328,482,304,1272,2115,4.3,1.9,1.4,1.4,3.1,2.5,2.2,36.2,5.8,2.3,2.2,1.7,3.0,49.0,4.5,225.8,133.0,6.5,8.3,6.9,7.2,90.0,1.3,,1.3,48.0,,48.0,56.0,,56.0,1.3,,1.3,5.1,,5.1,1.32,90,14,28,15,35,T,T,12.45
2002,1,1,Mead,Tomek,siCL,soybean,NT,N0P1K1 ,1,406,4,0,0,41,20,43,40,0,0,62595,25331,11895,1225,8303,21424,0.91,0.56,63674,1.7,3.4,556,3538,33.6,167.0,7.6,52.7,227.4,0.73,40.7,0.7,2.1,43.5,0.93,45.5,14.8,176.2,236.4,0.19,2.1,0.3,34.9,37.4,0.06,21.9,0.8,18.8,41.5,0.53,13.9,0.7,7.1,21.8,0.64,1.40,0.34,0.38,0.02,0.18,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.63,0.03,2.12,0.42,0.23,0.09,3.19,2.57,2.88,2.10,6.58,5.90,6.24,6.62,7.00,6.69,6.85,7.00,10.7,5.6,8.1,2.9,21.5,29.4,6.4,3.4,4.9,0.1,12.9,13.2,569,339,454,293,1199,2010,6.6,2.3,1.4,1.4,4.5,3.5,2.9,47.5,5.6,2.9,2.0,1.8,3.1,50.4,7.4,191.1,150.4,6.1,6.7,9.3,7.4,92.0,0.9,,0.9,33.3,,33.3,51.5,,51.5,1.4,,1.4,4.1,,4.1,1.32,90,13,31,15,35,0,0,13.65
2002,1,1,Mead,Tomek,siCL,soybean,NT,N2P0K1,2,107,1,125,140,0,0,43,40,0,0,57199,23148,12505,1371,9218,23093,0.90,0.54,56120,3.8,1.9,603,3385,36.9,190.6,8.5,97.6,296.7,0.64,41.4,0.8,5.2,47.3,0.87,46.7,16.5,210.4,273.6,0.17,2.1,0.4,40.4,42.8,0.05,23.3,0.9,15.9,40.0,0.58,16.1,0.8,9.4,26.3,0.61,1.52,0.33,0.37,0.02,0.19,0.13,0.62,0.06,1.20,0.03,0.06,0.06,1.06,0.06,2.28,0.44,0.17,0.10,3.39,2.92,3.16,2.26,6.21,5.31,5.76,6.14,6.58,6.31,6.44,6.66,11.1,5.8,8.4,2.1,22.2,28.2,6.9,2.9,4.9,0.9,12.9,15.5,573,312,443,261,1169,1893,6.1,4.2,1.8,1.8,5.2,4.0,3.5,56.6,,,,,,,,,,5.4,6.9,6.3,6.2,77.9,1.3,,1.3,56.0,,56.0,54.5,,54.5,1.1,,1.1,5.3,,5.3,1.32,90,15,32,15,35,0.04,0.6,14.35
2002,1,1,Mead,Tomek,siCL,soybean,NT,N2P0K1,2,204,2,125,140,0,0,43,40,0,0,64753,26205,13204,1409,9142,23756,0.90,0.56,64753,3.3,3.3,502,3249,40.6,203.0,8.8,76.1,287.8,0.71,42.4,0.8,4.9,48.1,0.88,50.6,17.0,218.3,285.8,0.18,2.4,0.4,37.8,40.5,0.06,17.2,0.9,18.1,36.2,0.48,16.1,0.8,8.8,25.7,0.63,1.54,0.32,0.38,0.02,0.13,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.83,0.05,2.39,0.41,0.20,0.10,3.55,3.02,3.28,2.20,6.76,6.14,6.45,6.33,7.00,6.69,6.85,7.00,31.9,10.8,21.3,2.3,56.3,62.7,22.6,5.7,14.2,0.2,37.4,38.0,722,464,593,296,1565,2387,5.2,3.1,1.7,1.7,4.1,3.3,2.9,47.9,,,,,,,,,,7.6,7.8,8.2,7.9,97.9,1.9,,1.9,42.0,,42.0,45.5,,45.5,1.0,,1.0,3.7,,3.7,1.32,90,20,41,16,35,0,0,15.16
2002,1,1,Mead,Tomek,siCL,soybean,NT,N2P0K1,2,309,3,125,140,0,0,43,40,0,0,70150,28389,13935,1394,9541,24870,0.91,0.56,73387,0.0,4.6,554,4068,34.3,196.9,8.7,84.2,289.7,0.68,37.3,0.8,2.8,40.9,0.91,48.8,16.8,226.9,292.5,0.17,2.5,0.4,34.1,37.0,0.07,16.4,0.9,13.5,30.8,0.53,16.3,0.8,7.6,24.8,0.66,1.41,0.27,0.35,0.02,0.12,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.88,0.03,2.38,0.36,0.14,0.08,3.10,2.61,2.85,2.41,6.30,5.89,6.10,6.28,7.00,6.53,6.77,7.00,20.8,6.5,13.6,3.8,36.0,46.6,12.3,3.7,8.0,1.4,21.1,25.0,499,312,406,296,1071,1892,4.4,3.2,3.4,3.4,3.8,3.7,3.6,59.1,,,,,,,,,,5.0,7.3,10.3,7.5,94.0,1.1,,1.1,43.0,,43.0,56.5,,56.5,1.4,,1.4,4.2,,4.2,1.32,90,30,45,16,36,0.05,0.6,16.00
2002,1,1,Mead,Tomek,siCL,soybean,NT,N2P1K0,3,108,1,125,140,41,20,0,0,0,0,67991,27515,13334,1467,11130,25931,0.90,0.51,64753,4.8,0.0,594,3847,34.7,208.4,9.1,101.8,319.4,0.65,42.1,0.8,3.5,46.4,0.91,51.0,17.7,263.4,332.0,0.15,2.3,0.4,51.7,54.3,0.04,18.4,0.9,21.9,41.2,0.45,17.4,0.9,10.9,29.2,0.60,1.56,0.32,0.38,0.02,0.14,0.13,0.62,0.06,1.20,0.03,0.06,0.06,0.92,0.03,2.37,0.46,0.20,0.10,3.59,2.87,3.23,2.27,6.13,5.63,5.88,6.30,6.47,6.53,6.50,7.00,11.9,6.1,9.0,2.2,23.8,29.7,10.0,5.8,7.9,0.5,20.9,22.2,608,367,487,289,1287,2087,5.0,2.7,1.9,1.9,3.9,3.2,2.9,46.6,8.3,5.0,4.1,2.7,5.0,81.9,,,,5.1,6.6,8.1,6.6,82.2,1.8,,1.8,59.0,,59.0,61.0,,61.0,1.1,,1.1,4.1,,4.1,1.32,90,23,31,16,36,T,T,15.31
2002,1,1,Mead,Tomek,siCL,soybean,NT,N2P1K0,3,205,2,125,140,41,20,0,0,0,0,56120,22711,13351,1441,9913,24705,0.90,0.54,67991,0.0,3.8,541,3679,36.3,208.1,9.0,91.9,309.0,0.67,41.2,0.8,5.1,47.2,0.87,46.8,17.3,204.2,268.3,0.17,2.3,0.4,36.8,39.4,0.06,10.2,0.9,18.1,29.2,0.35,15.0,0.8,9.0,24.8,0.60,1.56,0.31,0.35,0.02,0.08,0.11,0.62,0.06,1.20,0.03,0.06,0.06,0.93,0.05,2.06,0.37,0.18,0.09,3.45,2.86,3.15,1.59,6.43,5.83,6.13,6.39,7.00,6.64,6.82,7.00,12.3,6.6,9.4,2.4,24.8,31.4,8.5,3.3,5.9,0.1,15.5,15.8,628,347,488,312,1287,2152,6.1,3.2,1.5,1.5,4.6,3.6,3.1,49.6,8.0,5.0,3.3,1.9,4.5,73.7,,,,5.8,6.9,6.2,6.3,78.3,1.3,,1.3,45.5,,45.5,38.0,,38.0,1.2,,1.2,4.1,,4.1,1.32,90,13,24,16,36,0,0,15.33
2002,1,1,Mead,Tomek,siCL,soybean,NT,N2P1K0,3,306,3,125,140,41,20,0,0,0,0,61516,24895,13285,1331,9401,24017,0.91,0.55,64753,0.0,5.3,564,3654,36.4,189.3,8.3,95.6,293.2,0.65,35.2,0.7,2.7,38.7,0.91,43.5,16.0,209.8,269.2,0.16,2.4,0.3,41.3,44.0,0.05,18.8,0.8,17.9,37.5,0.50,14.5,0.8,9.1,24.4,0.59,1.42,0.27,0.33,0.02,0.14,0.11,0.62,0.06,1.20,0.03,0.06,0.06,1.02,0.03,2.23,0.44,0.19,0.10,2.71,2.98,2.85,2.69,6.81,5.98,6.39,6.17,7.00,6.60,6.80,6.49,18.1,8.1,13.1,2.4,34.5,41.2,13.0,4.8,8.9,0.3,23.4,24.4,437,289,363,293,958,1768,5.8,4.3,2.2,2.2,5.0,4.1,3.6,59.4,8.2,6.1,4.1,4.0,5.6,91.5,,,,3.6,5.4,6.7,5.2,65.2,0.9,,0.9,40.0,,40.0,38.5,,38.5,1.3,,1.3,2.5,,2.5,1.32,90,19,37,17,36,T,T,15.25
